School,Common name,Team,City,State,Type,Enrollment,Primary conference
St. John's University,St. John's,Red Storm,Jamaica,New York,Private/Catholic,"21,087",Big East Conference
Saint Francis University,Saint Francis (PA),Red Flash,Loretto,Pennsylvania,Private/Catholic,"1,658",Northeast Conference
St. Francis College,St. Francis Brooklyn,Terriers,Brooklyn,New York,Private/Catholic,"2,413",Northeast Conference
St. Bonaventure University,St. Bonaventure,Bonnies,St. Bonaventure,New York,Private/Catholic,"1,850",Atlantic 10 Conference
Sacred Heart University,Sacred Heart,Pioneers,Fairfield,Connecticut,Private/Catholic,"5,428",Northeast Conference
Rutgers University,Rutgers,Scarlet Knights,New Brunswick,New Jersey,State-private hybrid,"50,254",Big Ten Conference
Robert Morris University,Robert Morris,Colonials,Moon Township,Pennsylvania,Private/Non-Sectarian,"4,005",Horizon League
Rider University,Rider,Broncs,Lawrenceville,New Jersey,Private/Non-Sectarian,"4,825",Metro Atlantic Athletic Conference
University of Richmond,Richmond,Spiders,Richmond,Virginia,Private/Non-Sectarian,"4,002",Atlantic 10 Conference
Rice University,Rice,Owls,Houston,Texas,Private/Non-Sectarian,"7,124",Conference USA
University of Rhode Island,Rhode Island,Rams,Kingston,Rhode Island,State,"17,064",Atlantic 10 Conference
Radford University,Radford,Highlanders,Radford,Virginia,State,"9,410",Big South Conference
Quinnipiac University,Quinnipiac,Bobcats,Hamden,Connecticut,Private/Non-Sectarian,"10,207",Metro Atlantic Athletic Conference
Purdue University Fort Wayne,Purdue Fort Wayne,Mastodons,Fort Wayne,Indiana,State,"10,208",Horizon League
Purdue University,Purdue,Boilermakers,West Lafayette,Indiana,State,"43,411",Big Ten Conference
Providence College,Providence,Friars,Providence,Rhode Island,Private/Catholic,"4,890",Big East Conference
Princeton University,Princeton,Tigers,Princeton,New Jersey,Private/Non-Sectarian,"8,374",Ivy League
Presbyterian College,Presbyterian,Blue Hose,Clinton,South Carolina,Private/Presbyterian,"1,172",Big South Conference
Prairie View A&M University,Prairie View A&M,Panthers and Lady Panthers,Prairie View,Texas,State,"8,940",Southwestern Athletic Conference
Portland State University,Portland State,Vikings,Portland,Oregon,State,"26,012",Big Sky Conference
University of Portland,Portland,Pilots,Portland,Oregon,Private/Catholic,"4,205",West Coast Conference
University of Pittsburgh,Pittsburgh,Panthers,Pittsburgh,Pennsylvania,State-related,"28,391",Atlantic Coast Conference
Pepperdine University,Pepperdine,Waves,Malibu,California,Private/Churches of Christ,"7,961",West Coast Conference
Pennsylvania State University,Penn State,Nittany Lions,State College,Pennsylvania,State-related,"46,723",Big Ten Conference
University of Pennsylvania,Penn,Quakers,Philadelphia,Pennsylvania,Private/Non-Sectarian,"22,432",Ivy League
University of the Pacific,Pacific,Tigers,Stockton,California,Private/Methodist,"6,447",West Coast Conference
Oregon State University,Oregon State,Beavers,Corvallis,Oregon,State,"31,719",Pac-12 Conference
University of Oregon,Oregon,Ducks,Eugene,Oregon,State,"22,615",Pac-12 Conference
Oral Roberts University,Oral Roberts,Golden Eagles,Tulsa,Oklahoma,Private/Christian,"4,000",The Summit League
Old Dominion University,Old Dominion,Monarchs and Lady Monarchs,Norfolk,Virginia,State,"25,000",Conference USA
Oklahoma State University–Stillwater,Oklahoma State,Cowboys and Cowgirls,Stillwater,Oklahoma,State,"24,041",Big 12 Conference
University of Oklahoma,Oklahoma,Sooners,Norman,Oklahoma,State,"28,564",Big 12 Conference
The Ohio State University,Ohio State,Buckeyes,Columbus,Ohio,State,"61,391",Big Ten Conference
Ohio University,Ohio,Bobcats,Athens,Ohio,State,"33,044",Mid-American Conference
Oakland University,Oakland,Golden Grizzlies,Rochester,Michigan,State,"20,012",Horizon League
University of Notre Dame,Notre Dame,Fighting Irish,South Bend,Indiana,Private/Catholic,"12,614",Atlantic Coast Conference
Northwestern University,Northwestern,Wildcats,Evanston,Illinois,Private/Non-Sectarian,"21,946",Big Ten Conference
Northwestern State University,Northwestern State,Demons and Lady Demons,Natchitoches,Louisiana,State,"11,081",Southland Conference
Northern Kentucky University,Northern Kentucky,Norse,Highland Heights,Kentucky,State,"14,566",Horizon League
University of Northern Iowa,Northern Iowa,Panthers,Cedar Falls,Iowa,State,"10,497",Missouri Valley Conference
Northern Illinois University,Northern Illinois,Huskies,DeKalb,Illinois,State,"20,015",Mid-American Conference
University of Northern Colorado,Northern Colorado,Bears,Greeley,Colorado,State,"12,084",Big Sky Conference
Northern Arizona University,Northern Arizona,Lumberjacks,Flagstaff,Arizona,State,"30,736",Big Sky Conference
Northeastern University,Northeastern,Huskies,Boston,Massachusetts,Private/Non-Sectarian,"27,391",Colonial Athletic Association
University of North Texas,North Texas,Mean Green,Denton,Texas,State,"39,193",Conference USA
University of North Florida,North Florida,Ospreys and Lady Ospreys,Jacksonville,Florida,State,"17,002",Atlantic Sun Conference
North Dakota State University,North Dakota State,Bison,Fargo,North Dakota,State,"13,173",The Summit League
University of North Dakota,North Dakota,Fighting Hawks,Grand Forks,North Dakota,State,"13,581",The Summit League
University of North Carolina at Wilmington,UNC Wilmington,Seahawks,Wilmington,North Carolina,State,"16,747",Colonial Athletic Association
North Carolina State University,NC State,Wolfpack,Raleigh,North Carolina,State,"35,479",Atlantic Coast Conference
University of North Carolina at Greensboro,UNC Greensboro,Spartans,Greensboro,North Carolina,State,"20,106",Southern Conference
University of North Carolina at Charlotte,Charlotte,49ers,Charlotte,North Carolina,State,"29,710",Conference USA
University of North Carolina at Chapel Hill,North Carolina,Tar Heels,Chapel Hill,North Carolina,State,"30,011",Atlantic Coast Conference
North Carolina Central University,North Carolina Central,Eagles,Durham,North Carolina,State,"8,207",Mid-Eastern Athletic Conference
University of North Carolina at Asheville,UNC Asheville,Bulldogs,Asheville,North Carolina,State,"3,765",Big South Conference
North Carolina Agricultural and Technical State University,North Carolina A&T,Aggies,Greensboro,North Carolina,State,"12,142",Mid-Eastern Athletic Conference
Norfolk State University,Norfolk State,Spartans,Norfolk,Virginia,State,"5,616",Mid-Eastern Athletic Conference
Nicholls State University,Nicholls,Colonels,Thibodaux,Louisiana,State,"6,366",Southland Conference
Niagara University,Niagara,Purple Eagles,Lewiston,New York,Private/Catholic,"3,763",Metro Atlantic Athletic Conference
University of New Orleans,New Orleans,Privateers,New Orleans,Louisiana,State,"7,976",Southland Conference
