RegionID,SizeRank,RegionName,RegionType,StateName,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021
394714,40,"Jacksonville, FL",Msa,FL,299995,308000,310000,315000,319900,324500,320000,319900,314500,309000,300000,299000,298990,299900,299000,299999,311990,315000,325000,319000,308990,304900,299990,300000,299900,299000,301990,310000,314990,309000,319900,325000,325000,321990,319900,314900,306990,309000,310000,317990,326990,339900
394849,41,"Memphis, TN",Msa,TN,195620,185982,181306,181306,183930,190753,190753,205067,207071,208979,209838,209838,208502,200391,200391,203158,208979,214705,224247,224247,224247,224152,222782,224152,224247,224247,219476,224152,233789,233789,242282,252779,255642,252874,243332,247626,248103,237606,239000,235000,240000,249900
394935,42,"Oklahoma City, OK",Msa,OK,237400,238333,238333,243620,253982,256993,258652,257097,255542,248804,248804,248804,248804,248700,257823,264343,274721,282496,284984,279800,276794,269434,269434,269537,269537,269434,274721,281262,285087,285087,295454,307894,303644,300534,298046,297362,295434,291101,292700,305000,315000,325000
394807,43,"Louisville-Jefferson County, KY",Msa,KY,232000,227430,238500,254900,269900,274900,279900,279900,269900,269900,269600,267900,259900,255000,257000,269900,279900,291959,299000,295000,289900,279900,274900,264900,252500,249500,249900,265000,286400,295000,300000,300000,299900,295500,274900,269900,258900,258895,259900,269900,280000,289405
394669,44,"Hartford, CT",Msa,CT,280000,279999,289900,299900,312000,315000,319700,319000,309900,299900,299900,299900,299900,299900,299900,299900,309000,319000,320000,324900,319000,310000,310000,309000,299900,299900,299900,307000,325000,325000,342900,359000,369900,364900,355000,359900,349900,349900,359900,389000,394900,399000
395022,45,"Richmond, VA",Msa,VA,310119,305000,299830,310212,327791,336074,340200,336064,336073,330387,325682,319529,310222,310170,310170,322631,341193,351068,351585,351482,351068,340717,336022,330800,325733,330800,335557,341193,351584,361874,372822,387261,387726,387674,382607,385000,389900,389950,395000,399900,402985,395000
394910,46,"New Orleans, LA",Msa,LA,259900,252500,249900,249900,259000,269000,274900,273000,269900,269000,265000,264900,260000,259900,259000,265000,274000,275000,279900,279900,278000,275000,275000,275000,274500,269900,269000,269900,277900,280000,289000,294000,299900,310000,309000,309999,305000,305900,299900,300000,314900,328000
394425,47,"Buffalo, NY",Msa,NY,161521,156904,156904,166139,175374,179991,184609,184609,184609,183778,183778,175374,174543,166231,170756,175374,183685,184609,193844,193936,198461,184609,184239,183778,174543,175374,175374,180084,184701,198461,211483,221549,212314,203079,198554,200000,199900,199000,200000,225000,239900,254900
395012,48,"Raleigh, NC",Msa,NC,359900,359500,357500,365000,379900,385000,385000,383000,379900,374990,369900,359900,359000,355900,355000,362000,377789,389000,390000,385000,377900,375000,375000,369990,364000,359900,359900,370000,379990,374000,388250,398900,399900,405500,406480,395638,389977,398000,394900,399900,404900,410000
394388,49,"Birmingham, AL",Msa,AL,210000,209000,205900,214900,230000,239900,244500,244900,243000,241126,237895,229900,229900,229900,229900,240000,250000,259900,269900,271205,276900,271205,274000,274900,269900,265000,265000,269800,270000,269900,283900,285000,285000,279900,274220,275000,275500,279900,279900,284900,284900,298000
